name,description,price,category,stock_quantity
Laptop Pro 15,High-performance laptop with 16GB RAM,1299.99,Electronics,50
Wireless Mouse,Ergonomic wireless mouse with USB receiver,29.99,Electronics,200
Gaming Keyboard,Mechanical RGB gaming keyboard,89.99,Electronics,75
4K Monitor,27-inch 4K UHD monitor,399.99,Electronics,30
USB-C Hub,7-in-1 USB-C hub with HDMI and ethernet,49.99,Electronics,150
Noise-Canceling Headphones,Premium wireless noise-canceling headphones,249.99,Audio,100
Bluetooth Speaker,Portable waterproof Bluetooth speaker,79.99,Audio,120
Webcam HD,1080p HD webcam with built-in microphone,59.99,Electronics,80
External SSD 1TB,Portable SSD with 1TB storage,129.99,Storage,60
Phone Case,Protective silicone phone case,19.99,Accessories,300
Screen Protector,Tempered glass screen protector,12.99,Accessories,250
Charging Cable,USB-C fast charging cable 6ft,14.99,Accessories,400
Desk Lamp,LED desk lamp with adjustable brightness,39.99,Office,90
Ergonomic Chair,Mesh ergonomic office chair,299.99,Furniture,25
Standing Desk,Electric height-adjustable standing desk,499.99,Furniture,15
Backpack,Water-resistant laptop backpack,69.99,Accessories,110
Tablet 10-inch,10-inch Android tablet with 64GB storage,299.99,Electronics,45
Smartwatch,Fitness tracking smartwatch,199.99,Wearables,85
Fitness Tracker,Heart rate and sleep tracking band,79.99,Wearables,140
Power Bank 20000mAh,High-capacity portable charger,44.99,Electronics,180
